May know-how be gettiered,郑伟平（厦门大学哲学系）,,,2013/3/2
基于实验哲学的know-how研究,楼  巍（厦门大学哲学系）,,,2013/3/18
如何设计哲学实验,曹剑波（厦门大学哲学系）,,,2013/4/1
论信念的知识规范,郑伟平（厦门大学哲学系）,,,2013/4/15
论经验知识中的给予,郑辉军博士候选人,,,2013/5/6
1）“董事长案例”道德直觉实验研究,杨英云,,,2013/5/20
2）哲学实验室建设规划,郑伟平（厦门大学哲学系）,,,2013/5/20
1）先天知识研究：从先验哲学到分析哲学,陈增（厦门大学博士候选人）,,,2013/6/3
2）决定论下的道德责任将何去何从——以法式思想实验为例,汪安琪同学,,,2013/6/3
3）思想实验的实验化,曹剑波（厦门大学哲学系）,,,2013/6/3
《人文国际》知识论专刊组稿研讨会,曹剑波（厦门大学哲学系）,,,2013/6/24
公平的本性与限度——“第三方裁判收买实验”的法哲学分析,吴旭阳(厦门大学法学院),,,2013/6/28
所与之谜的实验求解,何孟杰（厦门大学博士候选人）,,,2013/7/4
如何从事哲学科研？,郑伟平（厦门大学哲学系）,刘晓飞（厦门大学哲学系）,,2013/9/24
选择是否为责任的要件？——从举证责任看归责理论,刘晓飞（厦门大学哲学系）,,,2013/10/8
知识是一种信念吗？——信念理论的实验哲学研究,郑伟平（厦门大学哲学系）,,,2013/10/22
哲学直觉与实验哲学的方法论问题——以亚历山大和威廉姆森的争论为例,楼  巍（厦门大学哲学系）,,,2013/11/5
特鲁特普案例的实验研究,曹剑波（厦门大学哲学系）,,,2013/11/19
知觉知识的新进路——知识论的析取主义评析,杨修志（厦门大学博士候选人）,,,2013/12/3
意图表达与行动的自我知识,徐  竹（中国科学院大学）,,,2013/12/10
我们有信念吗？——反消除主义的不可或缺性论证,郑伟平（厦门大学哲学系）,,,2013/12/24
一种新经验论的可能性——兼回应对于经验论的批判,庄朝晖（厦门大学计算机科学系）,,,2014/1/7
传统哲学“知”的观念与“李约瑟难题”,陈嘉明（厦门大学哲学系）,,,2014/3/6
宗教认知自然性理论在中国的检验,Dr.Ryan Hornbeck（[美国]加州富勒心理研究所）,,,2014/3/20
关于司法裁判的实验研究,吴旭阳（厦门大学法学院）,,,2014/4/3
“偏好”研究现状及实证研究的可能性初探,刘晓飞（厦门大学哲学系）,,,2014/5/13
“真”与“真理”及其他,周建漳（厦门大学哲学系）,,,2014/5/30
我们有信念吗?——反消除主义的不可或缺性论证,郑伟平（厦门大学哲学系）,,,2014/11/3
广义谢弗竖和维特根斯坦的N算子,唐芳芳（中国社科院马研院）,,,2014/11/10
快乐与欲望谁更基础？,周  亮（北京大学博士候选人、牛津大学联合培养博士）,,,2014/11/27
心理学研究的一般范式,路  平（黑龙江大学教育学院）,,,2014/12/25
Reexamining the nature of equilibrium explanations,Dr.Ashton Sperry（[美国]密苏里大学）,,,2015/1/6
知识归因的利益相关的不变主义,呼文欢硕士,,,2015/6/8
哲学领域女性偏少的现象、原因及应对策略,曹剑波（厦门大学哲学系）,,,2015/9/18
荷尔德林的诗学和希腊学,佘诗琴（厦门大学哲学系）,,,2015/10/16
信念倾向还是智能表象？,王奇琦博士候选人,,,2015/10/30
后果主义是一种道德理论吗？,刘晓飞（厦门大学哲学系）,,,2015/11/13
唯物主义:一个被建构的理论？,唐  瑭（厦门大学哲学系）,,,2015/11/27
葛梯尔问题是一个伪问题吗？,楼  巍（厦门大学哲学系）,,,2015/12/11
“理解”的知识论,陈嘉明（上海交通大学哲学系）,,,2016/1/18
空间认知视野中的都市社会研究,强乃社（中国社会科学院哲学研究所编辑）,,,2016/2/19
The Norm of Belief: from a Peircean point of view,郑伟平（厦门大学哲学系）,,,2016/2/23
SPSS软件的哲学应用：以哲学领域女性偏少的课堂效应假说的验证为例,徐金娟（管理咨询师、中级统计师）,,,2016/3/8
Disagreement about Justice,Pro.Wilfried Hinsch (Koeln Univeristy),,,2016/3/22
fMRI技术及其哲学应用,杜小霞（华东师范大学、上海市磁共振重点实验室高级工程师）,,,2016/4/5
The Epistemic Value of Understanding,胡星铭（南京大学哲学系）,,,2016/4/26
道德直觉与道德知识的确证,王奇琦（厦门大学博士候选人）,,,2016/5/10
Realist-Expressivism and Ways of Thinking,Pro.David Copp（加利福尼亚大学戴维斯分校杰出教授）,,,2016/5/17
Pascal’s Wager Meets Surreal Numbers,Dr.Eddy Keming Chen (Rutgers University),,,2016/5/24
安全信念与彩票难题：对普理查德版本的安全性说明的一种有限的审视,李麒麟（北京大学哲学系）,,,2016/5/31
“Truth”与真理———兼与王路教授商榷,周建漳（厦门大学哲学系）,,,2016/6/7
海德格尔与深度知识论,王庆节（香港中文大学哲学系）,,,2016/6/24
Quanta经验与道德谓词,颜青山（华东师范大学哲学系）,,,2016/6/25
新摩尔主义,杨修志（南京林业大学）,,,2016/6/25
知识与信念关系之争,郑伟平（厦门大学哲学系）,,,2016/6/25
道德直觉研究,王奇琦（厦门大学博士候选人）,,,2016/6/26
亲知理论与基础主义的复兴,胡志强（中国科学院大学）,,,2016/6/28
论威廉姆森的断定规范,郑伟平（厦门大学哲学系）,曹剑波,,2016/9/27
认知运气,李锋锋（厦门大学博士候选人）,郑伟平,,2016/10/11
艾耶尔“先天”命题研究,秦洋（厦门大学博士候选人）,楼巍,章晟,2016/10/25
Greco on Testimonial Knowledge,郑伟平（厦门大学哲学系）,李国扬,徐竹、章晟,2016/11/12
The Value Problem of Knowledge: Traditional and Beyond,米建国（台湾东吴大学）,曹剑波,,2016/11/12
Understanding，Ability，and Mechanism,徐竹（中国科学院大学）毕文胜,李麒麟、郑伟平,,2016/11/13
The Epistemic Virtue and Its Motivational Role in the Value Problem: Zagzebski's Solution to the Gettier Problem Revisited,李麒麟（北京大学）徐竹,刘晓飞、米建国,,2016/11/13
Value is Prior to Reason,李国扬（台湾中正大学）,章晟,刘晓飞,2016/11/14
Rationalism and the Problem of Deviant Realizations,李国扬（台湾中正大学）,章晟,楼巍,2016/11/15
科学理解的事实性与虚构性,徐竹（中国科学院大学）,郑伟平,,2016/11/15
最佳说明推理与发现的逻辑,朱志方（武汉大学）,,,2016/11/22
认知渗透与知觉辩护,王华平（山东大学）,曹剑波,郑伟平,2016/11/22
当代分析哲学的三种转向,江怡（北京师范大学）,曹剑波,,2017/3/31
事实、证据与司法审判,陈波（北京大学）,曹剑波,谢晓东、郭春镇、吴旭阳、章晟,2017/4/24
From Discovery to Justification: Outline of an Ideal Research Program for Empirical Psychology,Frank Zenker（德国康斯坦茨大学哲学系研究员）,郑伟平,,2017/5/12
Understanding as an intellectual virtue,Stephen R.Grimm (Professor of Philosophy，Fordham University),周建漳,,2017/5/15
Grice的理由論,苏庆辉（山东大学）,楼巍,,2017/5/22
Can Future Technology Provide Us with Immortal Life?,Douglas Lackey,朱菁,,2017/6/19
Truth Norm of Assertion,Daniel Whiting教授（英国南安普顿大学哲学系主任）,郑伟平副教授,,2017/7/22
“The Rectification of Names” as a Confucian Theory of Epistemic Justification(作为认知辩护的儒家“正名”论）,徐英瑾教授（青年长江学者、复旦大学哲学学院博导）,曹剑波,郑伟平,2017/10/11
Different scopes for different folks,侯维之教授（台湾中正大学哲学系）,曹剑波,,2017/10/18
论证成的规范性,侯维之教授（台湾中正大学哲学系）,郑伟平,,2017/10/20
社会科学中的案例研究方法：以偏概全还是一叶知秋,王巍教授（清华大学科学技术与社会研究所）,郑伟平,,2017/11/22
广义与狭义大科学,王大明教授（中国科学院大学人文学院）,朱菁,,2017/11/27
迷思中的中世纪哲学史研究——文艺复兴以降中世纪哲学历史书写的初步反思,吴天岳副教授（北京大学哲学系万人计划学者）,曹剑波,,2017/12/1
什么是形而上学？,王路教授（清华大学哲学系资深教授）,郑伟平,,2017/12/4
张载理学研究的新文献与新视角,林乐昌（陕西师范大学哲学系）,谢晓东,,2017/12/15
朱张会讲——850.前的一场思想盛宴,肖永明（岳麓书院）,朱人求,,2017/12/16
南吉大与关学的学术化,刘学智（陕西师范大学哲学系）,谢晓东,,2018/3/9
儒学与实用主义,杨国荣（华东师范大学哲学系）,朱  菁,,2018/3/10
划界内圣与外王：儒学的现代突破,任剑涛（清华大学政治系）,周建漳,,2018/3/10
儒家的社会正义理论,黄玉顺（山东大学儒学高等研究院）,谢晓东,,2018/3/11
顾炎武的新仁学,周可真（苏州大学哲学系）,谢晓东,,2018/3/12
形而上学与虚无主义---海德格尔对尼采的解读,张志伟教授（中国人民大学哲学院）,曹剑波,,2018/3/19
改革开放与“哲学村”的变迁——“中国农民哲学村”,单继刚研究员（中国社科院哲学所）,唐瑭,,2018/4/2
中国哲学中有无“真理”概念及其思想意义——试论“陈汉生问题”,周建漳教授（厦门大学哲学系）,曹剑波,,2018/4/12
Two Types of Generalization in Statistical Discrimination,刘晓飞副教授（厦门大学哲学系）,郑伟平,,2018/4/25
“理解”论的构建：从对象、性质到方法,陈嘉明教授（上海交通大学哲学系）,曹剑波,,2018/5/13
蹊跷性论题对逻辑决定论的拒斥,颜青山教授（华东师范大学哲学系）,曹剑波,,2018/5/14
现代性视域中的科学与哲学,张志林教授（复旦大学哲学系）,朱菁,,2018/5/14
Objects and Properties,Dr.Naomi Thompson（Department of Philosophy，University of Southampton）,郑伟平副教授,,2018/5/28
朱子理学与阳明心学的关联,林安梧（台湾慈济大学宗教与文化研究所）,谢晓东,,2018/6/5
朱子论天地以生物为心,唐文明（清华大学哲学系）,谢晓东,,2018/6/11
儒家经典诠释学的起源及发展,王中江教授（北京大学哲学系）,谢晓东教授,,2018/6/22
井上圆了对近代中国佛教改革理论的影响——以“人间佛教”创始人太虚为例,王  青（中国社会科学院）,朱人求,,2018/6/26
明清王朝更迭与东亚思想史,桂岛宣弘（立命馆大学文学部）,朱人求,,2018/6/26
当代分析哲学运动中的三大转变,江怡教授（北京师范大学哲学与社会学院）,郑伟平,,2018/6/26
什么是认知科学？,江怡教授（北京师范大学哲学与社会学院）,朱菁,,2018/6/28
Animal Abolitionism and Racism without Racists,Luís C.Rodrigues（中山大学珠海分校研究员）,朱菁,,2018/7/2
《西铭》现代诠释的三个面向,许  宁（陕西师范大学哲学系）,朱人求,,2018/10/17
栗谷学与韩国文化——朱子学的太极阴阳论和太极旗,崔英辰（韩国成均馆大学翰林院）,乐爱国,,2018/10/19
道学与朱熹之再思考,田  浩（美国亚利桑那州立大学）,朱人求,,2018/10/20
人工智能的政治哲学反思,吴冠军教授（华东师范大学欧陆政治哲学研究所）,张会永,,2018/11/8
想象与理解,徐竹教授 （华东师范大学哲学系）,张会永,,2018/11/12
斯宾诺莎Conatus概念及其理论建构中的作用,Prof.Gabor BOROS（Department of Philosophy， Károli University of Budapest）,翁少龙,,2018/11/13
论诺齐克式权利观的后果主义重构,葛四友教授 （华东师范大学哲学系）,张会永,,2018/11/15
人类命运共同体、全球伦理与国际法治,曹刚教授 （中国人民大学哲学学院）,张会永,,2018/11/19
同一性、实体和本质,李大强教授（吉林大学哲学社会学院）,郑伟平,,2018/11/19
模态认识论,冯书怡助理教授（湖南大学岳麓书院）,曹剑波,,2018/11/26
解读经络与“气”的实在性——从场本体论与结构实在论的观点看,桂起权教授 （武汉大学哲学学院）,朱菁,,2018/11/27
从存在哲学到性命哲学,吴飞教授（北京大学哲学系）,李若晖,,2018/12/1
Philosophy，Intuition and Culture,Prof.Stephen P.Stich,刘晓飞,,2018/12/7
理解自欺,刘畅教授（中国人民大学哲学学院）,楼巍,,2018/12/12
认同的几种方式,胡敏中教授（北京师范大学哲学学院）,陈玲,,2019/3/1
明末至民初西方逻辑传入中国的内,翟锦程教授（南开大学哲学学院）,朱菁,,2019/3/15
儿童哲学的课程形态与实施可能性,颜志豪博士（上海平和学校）,曹剑波,,2019/3/16
《易经》的尊阳重善思想,管国兴博士（中盐金坛盐化有限责任公司总经理）,朱菁,,2019/3/20
王阳明龙场悟道新论,钟海连博士（中盐金坛盐化有限责任公司副总经理）,黄永锋,,2019/3/21
另一只眼睛看康德：人生存于世的意义创造,詹世友教授（上饶师范学院）,楼巍,,2019/3/22
诠释学与传统继承问题——从冯友兰的抽象继承法讲起,洪汉鼎教授（北京社会科学院）,曹剑波,,2019/3/22
人认识自己的三条路径,戴茂堂教授（湖北大学）,张会永,,2019/3/29
朱子学与湖湘学的融通和差异,陈代湘教授（湘潭大学）,朱人求,,2019/4/10
慈孝一体：论差异序结构中的“核心层”,周飞舟教授（北京大学）,李若晖,,2019/4/12
关于中世纪哲学性质之争,罗跃军教授（黑龙江大学）,曹剑波,,2019/4/12
马克思与维特根斯坦比较谈,张学广教授（西北大学）,楼巍,,2019/4/12
人类中心还是与自然和谐共处？——对二十一世纪自然之恶与制度之恶的研究,Ionut Untea （东南大学哲学系副研究员）,翁少龙,,2019/4/12
尼采与未来哲学,孙周兴教授（同济大学）,朱菁,,2019/4/15
启蒙的悖论及其解决,夏莹教授（清华大学）,曹剑波,,2019/4/16
我对宗教的研究及其方法,马西沙研究员（中国社会科学院）,黄永锋,,2019/4/19
闽浙赣宝卷调查研究,李志鸿副研究员（中国社会科学院）,黄永锋,,2019/4/20
知识论的实用侵入,方环非教授（宁波大学）,楼巍,,2019/4/26
儿童哲学的理论与实务,潘小慧教授（辅仁大学）,曹剑波,,2019/4/26
人文社会科学研究诚信规范体系及建设,蒋美仕教授（中南大学）,杨松,,2019/4/30
金钱与道德：心理学的视角,周欣悦（浙江大学）,朱菁,,2019/5/6
宋代礼、理融合视野下的《中庸》诠释,殷慧（湖南大学）,曹剑波,,2019/5/24
置信度敏感主义——阈值论vs.置信度唯一论,高洁（哲江大学）,楼魏,,2019/5/24
敦煌文书中的道教写经,张泽洪教授,黄永锋教授,,2019/6/17
弗雷格的逻辑观及其特征,张燕京教授（河北大学）,黄朝阳教授,,2019/6/25
科学哲学要关注科学中“时代断裂”现象,蔡仲教授（南京大学哲学系）,陈玲教授,,2019/6/25
朱熹的告子和陆九渊的告子,张元泰教授（韩国首尔大学）,谢晓东教授,,2019/11/12
李珥哲学和朝鲜儒学,丁垣在教授（韩国首尔大学）,谢晓东教授,,2019/11/12
新时期综合类期刊对作者的要求,刘君（《福建论坛》杂志编辑）,郑伟平副教授,,2019/11/13
科学与社会秩序共生的理论探讨,尚智丛教授（中国科学院大学）,陈玲教授,,2019/11/16
《大学》《中庸》研究的十大问题,邹晓东（《文史哲》编辑部哲学编辑）,李若晖教授,,2019/11/17
马克思主义理论创新——两大源头，一大潮头,王东教授（北京大学）,徐梦秋教授,,2019/11/18
儿童的哲学世界,林德宏教授（南京大学）,曹剑波教授,,2019/11/18
哲学创新的前沿问题,王东教授（北京大学）,徐梦秋教授,,2019/11/19
对中国重大科技发明创造的认识与思考,冯立昇教授（清华大学）,陈玲教授,,2019/11/21
国学与哲学：两种范式及其会通,罗传芳（《哲学研究》资深编审）,谢晓东教授,,2019/11/24
从承认到妥协——“批判的妥协理论”构想,王凤才教授（复旦大学）,翁少龙,,2019/11/24
Legalität 与 Legitimität的翻译和理解问题,王凤才教授（复旦大学）,翁少龙,,2019/11/25
亚里士多德的逻辑,王路教授（清华大学）,周建漳,,2019/11/26
亚里士多德的哲学,王路教授（清华大学）,何纯秀,,2019/11/28
责任伦理的神学根基,张荣教授（南京大学）,张会永副教授,,2019/11/29
天道与历理：明朝引进外来天文学的儒学内因,石云里教授（中国科学技术大学）,陈玲教授,,2019/11/29
逻辑是哲学的本质,王路教授（清华大学）,黄朝阳,,2019/11/29
儒家和现代性挑战,李勇副教授（武汉大学）,谢晓东教授,,2019/12/11
马克思政治哲学的构建何以可能？,李佃来教授（武汉大学）,唐瑭副教授,,2019/12/28
我们时代的哲学问题,黄慧珍编审（《哲学研究》）,朱菁教授,,2020/1/11
学术研究要有问题意识,杨义芹教授（天津社科院）,朱菁教授,,2020/1/11
自由概念在马克思思想中的位置,罗骞教授（中国人民大学）,杨松教授,,2020/4/2
朱子学是“心统性”还是“性统心”？,蔡家和教授（台湾东海大学）,谢晓东教授,,2020/6/16
“圣人无名”与自由秩序,陈赟教授（华东师范大学）,叶树勋副教授,,2020/6/22
司马谈论名家之哲学分析,李若晖教授（厦门大学）,谢晓东教授,,2020/6/24
“将第八识断一刀”——再探大慧宗杲在朱子思想的痕迹,郑泽锦助理教授（香港中文大学）,谢晓东教授,刘泽亮教授,2020/6/26
「虚灵不昧」与朱子晚年明德论思想跃动的禅学背景及其历史影响,瞿奎凤教授（山东大学）,谢晓东教授,朱人求教授,2020/6/29
明清之际中西科学与哲学思想的交流,尚智从教授（中国科学院大学）,陈玲教授,,2020/6/29
海德格尔形而上学之克服,孙冠臣教授（兰州大学）,曹剑波教授,,2020/6/29
当“道体”遭遇“理本”——论朱子“道体论”的困境及其消解,田智忠副教授（北京师范大学）,谢晓东教授,高海波副教授,2020/7/2
不应被湮没的朱门狂者——饶双峰思想与后朱子学,许家星教授（北京师范大学）,谢晓东教授,邓庆平教授,2020/7/9
朱子论生死与鬼神——基于“理－气”二元结构的生命哲学诠释,冯兵教授（华侨大学）,谢晓东教授,申祖胜助理教授,2020/7/16
程颐与朱子为什么反对动机说的立场?,郑宗模助理教授（安东大学）,李璐楠助理教授,谢晓东教授,2020/7/21
生命伦理学视域下知情同意的道德基础,陈化教授（南方医科大学）,马永慧副教授,刘晓飞副教授,2020/7/23
空间、轨迹与度量衡——早期中国“道”的类比,李巍教授（中山大学）,谢晓东教授,叶树勋副教授,2020/7/25
朱熹思想中的“理”与“心”,藤井伦明准教授（九州大学）,谢晓东教授,赵金刚副教授,2020/7/30
“仁义未尝不利”:朱熹对程颐义利观的展开一一以《孟子》“何必曰利?亦有仁义而已矣”的诠释为中心,乐爱国教授（厦门大学）,谢晓东教授,,2020/9/16
“文化”与“国家”——梁漱溟的探索,干春松教授（北京大学）,谢晓东教授,,2020/9/17
科际整合与学术创新,陈进国教授（中国社会科学院大学）,陈玲教授,,2020/9/21
五伦中的朋友：为什么朋友重诚信？,胡发贵所长（江苏省社科院哲学与文化研究所）,申祖胜助理教授,朱人求教授,2020/9/21
价值本原与人类生存,郭沂（首尔大学）,谢晓东教授,,2020/9/24
广义视阈中的人类认识,杨国荣教授（华东师范大学）,谢晓东教授,,2020/9/25
人：因“事”而在,杨国荣教授（华东师范大学）,曹剑波教授,,2020/9/26
《庄子》哲学三题与经典解释学,吴根友教授（武汉大学）,刘泽亮教授,,2020/10/12
论当代知识论的信念度教条,郑伟平副教授（厦门大学）,,,2020/10/15
朱子学能对21世纪提供什么思想资源？,黄俊杰教授（台湾大学）,谢晓东,,2020/10/16
亚里士多德法治观中的悖论,陶林教授（西南大学）,,,2020/10/16
西方后自由主义思潮述评,韩震教授（北京师范大学）,,,2020/10/17
马克思与亚里士多德：实践哲学范式的转换,丁立群教授（黑龙江大学）,,,2020/10/20
亚里士多德实践哲学前提批判与重建,丁立群教授（黑龙江大学）,,,2020/10/21
立诚与致良知,钟海连兼职教授（厦门大学）,黄永锋教授,,2020/10/29
格物致知之论说,管国兴兼职教授（厦门大学）,黄永锋教授,,2020/10/29
器官移植带来的身份认同问题——从《聊斋志异·陆判》谈起陆判》谈起,方旭东教授（厦门大学）,乐爱国教授,,2020/11/1
李约瑟难题与中国科技创新,王大明教授（中国科学院大学）,陈玲教授,,2020/11/6
荀子的语言哲学新探,ERIC HUTTON（何艾克）教授（美国犹他大学）,谢晓东教授,,2020/11/9
朱子是否别子为宗？,杨儒宾教授（台湾清华大学）,谢晓东教授,,2020/11/13
马克思主义哲学研究中的问题,鉴传今教授（中国社会科学院）,陈玲教授,,2020/11/18
研究范式的演变：关于中国数学史的编史学问题,冯立昇教授（清华大学）,陈玲教授,,2020/11/25
正义是社会制度的首要价值吗？,段忠桥教授（中国人民大学）,徐梦秋教授,,2020/11/26
期刊、学术与时代,刘京希教授（山东大学）,杨松教授,,2020/11/27
知识、行动与实践：伽达尔默论知识、行动何以是实践哲学的？,张能为教授（安徽大学）,郑伟平副教授,,2020/11/28
世间为何有物存在，而不是一无所有？——对“存在之谜”的一个反证法式的解答,王晓阳教授（厦门大学）,,,2020/12/4
马克思“一般智力”范畴的当代重构及其效应评估,孙乐强教授（南京大学）,唐瑭副教授,,2020/12/6
物质组合与物质构成：对强紧缩论的四种回应策略,陈常燊教授（山西大学）,王晓阳教授,,2020/12/11
时间旅行“杀父悖论”之困惑,汤志恒助理教授（华中科技大学）,王晓阳教授,陆丁、刘晓飞副教授,2020/12/18
朱子心性论的结构与张力,乔清举教授（中央党校）,谢晓东教授,,2020/12/21
Epistemic Gradualism and the Gradability of Truth,赖长生助理教授（上海交通大学）,郑伟平副教授,,2020/12/24
﻿《远游》的哲学解读,管国兴教授,黄永锋教授,,2021/3/31
从论学到经学——魏晋般若学的矛盾与展开,府建明教授,黄永锋教授,,2021/3/31
